timestamp,_time,_value,_measurement,_field,equipo,campo_equipo
2026-01-06 13:22:00.000000,2026-01-06T13:22:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:23:00.000000,2026-01-06T13:23:00+00:00,2952.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:24:00.000000,2026-01-06T13:24:00+00:00,9840.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:25:00.000000,2026-01-06T13:25:00+00:00,8680.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:26:00.000000,2026-01-06T13:26:00+00:00,8973.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:27:00.000000,2026-01-06T13:27:00+00:00,1342.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:28:00.000000,2026-01-06T13:28:00+00:00,1992.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:29:00.000000,2026-01-06T13:29:00+00:00,4148.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:30:00.000000,2026-01-06T13:30:00+00:00,2200.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:31:00.000000,2026-01-06T13:31:00+00:00,10980.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:32:00.000000,2026-01-06T13:32:00+00:00,8688.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:33:00.000000,2026-01-06T13:33:00+00:00,6552.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:34:00.000000,2026-01-06T13:34:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:35:00.000000,2026-01-06T13:35:00+00:00,7064.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:36:00.000000,2026-01-06T13:36:00+00:00,10190.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:37:00.000000,2026-01-06T13:37:00+00:00,11690.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:38:00.000000,2026-01-06T13:38:00+00:00,10836.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:39:00.000000,2026-01-06T13:39:00+00:00,10413.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:40:00.000000,2026-01-06T13:40:00+00:00,10836.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:41:00.000000,2026-01-06T13:41:00+00:00,11074.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:42:00.000000,2026-01-06T13:42:00+00:00,8816.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:43:00.000000,2026-01-06T13:43:00+00:00,8690.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:44:00.000000,2026-01-06T13:44:00+00:00,5558.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:45:00.000000,2026-01-06T13:45:00+00:00,9088.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:46:00.000000,2026-01-06T13:46:00+00:00,9056.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:47:00.000000,2026-01-06T13:47:00+00:00,9715.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
